step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.377385803952691,68250.81086964489,899.4366222717146,5.509245152254249,25.917723591768276,21769.040624565256,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.8179171950253676,0,0.0
10.0,0,0.0,0.0,10.730357855711155,130586.03713870476,1811.9497032149482,11.135624638698758,51.25681317927265,41651.14005704832,0.0,0.0,0.0,0.0,0.0,15120.0,0,0.0,0.7675131848937566,0,0.0
15.0,3,4.0,0.07142857142857142,7.4190888397079515,135625.05050978618,2766.2095719537733,15.682356184996282,55.22921414030915,43258.612344823196,7837.610462941577,491.06644518639143,2.4199524038261173,3.5921277405010104,2500.006388213048,13440.0,3,4.0,0.4789828884883404,3,4.0
20.0,14,49.0,0.6901408450704225,4.785204693937268,155107.40611163172,5331.627288666326,27.804862573120378,66.04377486508452,49473.52735215751,36711.18792348007,2302.574211929728,11.346569206167068,16.840088539758792,11709.971342147077,12780.0,14,50.0,0.2782984061924822,14,50.0
25.0,32,172.0,2.1772151898734178,3.5886709851747765,211992.56062716412,8769.694962588374,44.91083968024628,92.70655341709123,67618.36891149514,83938.23875005716,5267.427432109169,25.955871362425572,38.51039572562791,26774.24626291645,11376.0,32,172.0,0.20580899767290767,32,172.0
30.0,51,389.0,4.370786516853933,2.982234718944994,227162.0853266834,10818.147909791307,54.50487567144567,100.29636791657315,72457.65067389952,133797.74128438553,8396.469079560637,41.37459772008335,61.38761886116288,42678.20847045862,10680.0,51,389.0,0.159160827634136,51,389.0
35.0,64,684.0,7.434782608695652,2.2861683758667466,243745.08215584754,11950.467893262725,60.10031141477527,108.0222872214985,77747.24445421193,167939.4688985096,10539.735792069283,51.93567144149713,77.05615083580307,53568.584566865924,9462.857142857143,64,684.0,0.1035152091093668,64,684.0
40.0,71,1023.0,10.438775510204081,1.997350090007334,251208.38901489574,13169.588693827809,65.84697972365902,111.6735996761791,80128.29606953794,186335.95063334054,11696.449921360008,57.63486030012606,85.5027020797553,59436.61270196884,8820.0,71,1024.0,0.08997802615222172,71,1024.0
45.0,75,1233.0,12.33,1.6229734749360514,252169.02731563206,13992.668642692312,69.57460695923051,113.06303855266539,80435.04277684144,196819.7725659188,12353.805886426344,60.874216073425686,90.31109633718332,62780.6955789626,8000.0,75,1340.0,0.07429360441467124,75,1340.0
50.0,74,1382.0,13.549019607843137,1.5797317654104834,279311.5535389107,14497.15871644089,72.57298306122861,125.30170816796462,89092.14372184122,194211.77815567993,12191.046640874683,60.071943036411604,89.11717983707963,61948.80916505947,7344.0,74,1635.0,0.05659294340690834,74,1635.0
55.0,72,1515.0,15.0,1.8310668440898106,290809.03274503985,14643.04227110509,73.51457631315789,130.282692331576,92759.24779897218,188940.4993651326,11859.12449830303,58.436661658118716,86.69496985908197,60267.400122356565,6610.909090909091,72,1895.0,0.07104791443712624,72,1895.0
60.0,76,1882.0,18.096153846153847,2.644995085774359,279499.40509839094,13860.214882192346,69.59479496376765,123.15536819087997,89151.9948632119,199460.42275627912,12520.436519382632,61.69505197772813,91.52545428899754,63622.99845530213,6240.0,76,2166.0,0.09908483832824307,76,2166.0
65.0,73,2171.0,21.92929292929293,1.7195846047090872,262159.38085707265,13770.7048565166,68.78131662150491,116.95971935799142,83621.3012308584,191581.45286484915,12026.303204556134,59.26002149818387,87.91032480020422,61109.799906743596,5483.076923076924,73,2507.0,0.08216805164562327,73,2507.0
70.0,73,2473.0,24.485148514851485,1.6001466030835643,280851.16660738393,14483.9536605192,72.54805369082347,126.0014260631982,89583.18305681004,191591.24138826982,12026.81670960771,59.26261499136606,87.91543583596001,61112.922025270265,5194.285714285714,73,2832.0,0.06266385623212035,73,2832.0
75.0,79,2842.0,27.326923076923077,1.9571158308478394,280638.49385004985,14444.737402129977,72.30485814295373,124.6361408542762,89515.51122145842,207319.8879419612,13013.5039748872,64.12471872095188,95.13033565101229,66129.97582710968,4992.0,79,3184.0,0.07257611931630281,79,3184.0
80.0,79,2901.0,27.62857142857143,1.6901760022229344,270151.3606420484,14825.000552074614,73.8377308721806,121.47313288484993,86170.76284120171,207329.95940348518,13014.160800272404,64.12797712818691,95.1357966269339,66133.18823067908,4725.0,79,3452.0,0.05616291700035166,79,3452.0
85.0,77,2813.0,27.310679611650485,1.5900203263474295,276581.5497131978,14577.151798992112,72.77814670545082,123.21375090811208,88221.61902865791,202080.52946586578,12684.099343993794,62.50176558360789,92.7261174168455,64458.74825579981,4362.35294117647,77,3617.0,0.05209623064504912,77,3617.0
