step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,10.99147954818061,63810.37521652606,931.8386413240706,5.501586624236312,24.035733620122393,20352.80713178157,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.8114547338808644,0,0.0
10.0,0,0.0,0.0,11.013903004812178,101589.49382394472,1450.452071461825,8.797778191674052,39.65018425442024,32402.584055848914,0.0,0.0,0.0,0.0,0.0,15840.0,0,0.0,0.8176894827873796,0,0.0
15.0,5,11.0,0.1864406779661017,8.727428166741255,142550.84534769395,2580.6219825987678,15.017116793537806,57.21755067393171,45467.57012521633,13114.42234994515,822.6153209793589,4.053652982175946,6.01618140173966,4183.180044793405,14160.0,5,11.0,0.6245620428818597,5,11.0
20.0,14,51.0,0.6455696202531646,6.111265628981539,190176.84707910192,5825.675780701366,30.95210709201435,80.38069266153624,60659.07597999518,36701.9532803307,2301.191296801149,11.33999681058699,16.833853680850016,11707.025608278695,14220.0,14,55.0,0.4067798149191934,14,55.0
25.0,32,175.0,1.8617021276595744,4.673314308085416,221457.92377637533,8360.634406255436,43.08095575349149,94.43460901935828,70637.34694707836,83904.26955589987,5263.539627977344,25.937201592875343,38.489348238037124,26763.410894256776,13536.0,32,175.0,0.28464960789415716,32,175.0
30.0,48,382.0,3.5045871559633026,3.15841997033637,243051.43572382847,11258.504939924029,56.86678877926971,106.38418514962088,77525.80461667235,125917.92347243155,7900.543208001674,38.93131571199607,57.769294578478934,40164.73892827236,13080.0,48,383.0,0.16215455599392878,48,383.0
35.0,69,684.0,5.846153846153846,2.344526551413402,285600.80470472964,14296.61554520214,71.72225367202375,126.70178572172836,91098.11260292314,181006.16702498883,11357.292628031064,55.96494794795935,83.04339935933828,57736.54183970092,12034.285714285714,69,685.0,0.10937371697880319,69,685.0
40.0,87,1085.0,8.75,1.8880863967823291,317343.7957121543,17080.747258289746,85.17340490301089,141.54346442838093,101223.79465790611,228294.6932317296,14327.237392187864,70.5991092388534,104.74873806367995,72820.4253466993,11160.0,87,1086.0,0.07872543883337496,87,1086.0
45.0,104,1571.0,12.37007874015748,1.4860872442250699,331718.5154815887,18265.43407007251,90.93926232543521,148.7868773846209,105809.04482033958,272909.7016875661,17128.03739444707,84.40009920628312,125.22131328010623,87051.52239176618,10160.0,104,1574.0,0.05816867211122554,104,1574.0
50.0,111,2112.0,16.5,1.3340454898259866,336078.5249508009,19039.31799363414,94.42742124810148,150.3473333972493,107200.14514037622,291316.16107242514,18286.719152688085,90.10856343209986,133.67534058744832,92922.73341791918,9216.0,111,2115.0,0.04706253820180403,111,2115.0
55.0,114,2680.0,20.775193798449614,1.3878917582596197,324624.9062026343,19010.813630019136,94.13660283537419,146.5474052995081,103546.93877303362,299216.9677391898,18784.457825474987,92.56067481880825,137.3057382888932,95442.89772477848,8443.636363636364,114,2683.0,0.05422200770899733,114,2683.0
60.0,114,3250.0,25.390625,1.384706307725812,324732.0469708534,18987.10739954824,94.06265659616724,146.747674372938,103581.0667538121,299218.2912429736,18784.660064103704,92.56163533522349,137.3066377922503,95443.31990694924,7680.0,114,3253.0,0.05462610616755611,114,3253.0
65.0,114,3820.0,30.078740157480315,1.286765540245068,323922.4372542253,19004.953916362134,94.1376917673842,146.70368362979266,103322.81195527113,299218.28689460806,18784.6593831539,92.56163210370262,137.30663481106382,95443.31851986655,7033.846153846154,114,3823.0,0.046151205186206454,114,3823.0
70.0,114,4390.0,34.56692913385827,1.3321383154699524,340887.41022406705,19140.06153658269,95.09422903514985,153.05860224512193,108733.85139946511,299218.33333333343,18784.66666666663,92.56166666666681,137.30666666666696,95443.33333333311,6531.428571428572,114,4393.0,0.048183957690276905,114,4393.0
75.0,114,4960.0,39.05511811023622,1.2970334604484632,332813.50827137457,19032.141648895093,94.45995915575195,149.69480387156787,106158.67979004716,299218.31895656534,18784.66441167682,92.56165596592345,137.3066568044411,95443.32874729476,6096.0,114,4963.0,0.04552568583659041,114,4963.0
80.0,114,5530.0,43.888888888888886,1.1640312646427249,329103.369089753,19105.861286110758,94.7267100197835,149.10771457875535,104975.25494378006,299218.33333333343,18784.66666666663,92.56166666666681,137.30666666666696,95443.33333333311,5670.0,114,5533.0,0.0430101017131341,114,5533.0
85.0,114,6100.0,48.031496062992126,1.2915508367197663,329853.24119937385,19121.384133460208,94.80223927176216,149.46468426234304,105214.42328919249,299218.31407996255,18784.663646581903,92.56165233530206,137.30665345885168,95443.32719170953,5378.823529411765,114,6103.0,0.051319780867718746,114,6103.0
