step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,10.703480881369162,62830.21556548679,885.7575488715377,5.337392403287423,23.38005142359605,20040.242371199492,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.764305923026651,0,0.0
10.0,0,0.0,0.0,10.779192337988777,112082.96068235062,1585.477289290157,9.725821059668327,43.73672421886822,35749.556824613726,0.0,0.0,0.0,0.0,0.0,15480.0,0,0.0,0.7949964461223571,0,0.0
15.0,5,9.0,0.15789473684210525,8.53223576423626,136916.67435464438,2671.0586137097625,15.158266783301901,54.65219055392937,43670.65193407291,13095.391023089107,820.9356048712764,4.045481897674807,6.0051753137812565,4177.109657018354,13680.0,5,9.0,0.5985361328101733,5,9.0
20.0,16,71.0,0.922077922077922,6.329517917871759,160843.8332213913,5009.44881506981,26.483251982295386,67.07463917053734,51303.159248420845,41933.44458394263,2632.7247190445432,12.972535722392331,19.23796387745529,13375.74467958773,13860.0,16,71.0,0.40108235092930333,16,71.0
25.0,30,190.0,2.0652173913043477,5.0424119431979735,201851.6980180463,7786.532627128306,40.08165293417189,85.41411645130952,64383.87259053038,78704.42639285704,4938.424779115147,24.334897563644795,36.109246412266685,25104.787699902918,13248.0,30,190.0,0.2898623605832173,30,190.0
30.0,47,388.0,3.803921568627451,3.7159828276947797,237217.60848769022,10783.354912280998,54.53518249980175,102.97528120901931,75665.01066107528,123315.4678362154,7738.1946152156015,38.13106161979852,56.578459071972965,39334.6191827121,12240.0,47,388.0,0.19817990118712153,47,388.0
35.0,58,555.0,5.0,2.9304846198032815,279800.5657446682,13184.044780416192,66.46669063595414,122.99074453908807,89247.6702121647,152096.1734427594,9544.560611091685,47.03183301774676,69.77751112104563,48514.96192011516,11417.142857142857,58,618.0,0.15741719422350933,58,618.0
40.0,67,752.0,6.319327731092437,2.528725864860003,325389.62102183106,15437.773112383873,77.88750595784487,143.6802713135622,103789.15628312853,175774.74767841084,11028.209638163782,54.34366285566339,80.64317505090831,56067.846480308464,10710.0,67,870.0,0.12082476799452897,67,870.0
45.0,80,1048.0,8.317460317460318,2.3500604323288825,341955.3459851588,16835.43216418231,84.64196267259369,151.60654604199286,109073.39198490426,209884.31029753276,13168.939669879821,64.8923142786643,96.29358235981971,66947.96306056049,10080.0,80,1190.0,0.11105164284298144,80,1190.0
50.0,82,1386.0,10.828125,2.3226092304846686,343959.9607228959,17151.20174789344,86.10614673261466,152.96102643347098,109712.83260764854,215192.0755543596,13506.518843092288,66.55445021064304,98.74072480695514,68641.01088282821,9216.0,82,1525.0,0.09462433071973163,82,1525.0
55.0,86,1784.0,13.9375,2.221344858681998,345819.6683316291,17073.400414725365,85.85955217157307,153.98175497469828,110305.91379830515,225704.82761908098,14167.990353307203,69.81340027015496,103.56830903735887,71994.3220371582,8378.181818181818,86,1893.0,0.08896809793334103,86,1893.0
60.0,93,2238.0,17.348837209302324,2.422945371367514,370348.901490779,17769.12916904231,89.58541450019007,164.61871151162535,118129.67340998657,244073.13462960583,15320.644485534976,75.4932680699672,111.99609043079288,77853.36284249963,7740.0,93,2297.0,0.09457191344346888,93,2297.0
65.0,100,2724.0,20.953846153846154,2.270748126530078,350700.087845936,18104.475365852264,90.620710052781,155.78146157043042,111863.12602373124,262453.05291485676,16475.414444213366,81.18313090426601,120.43230397470116,83716.10761422566,7200.000000000001,100,2755.0,0.07671825925147048,100,2755.0
70.0,104,3238.0,25.100775193798448,2.12252904738789,357104.6559994212,18262.26069513123,91.52106594376649,158.42075928168327,113905.94043896958,272964.3013147705,17135.852692268294,84.43730021445765,125.25760039110217,87068.9388674002,6634.285714285714,104,3242.0,0.07452411635789315,104,3242.0
75.0,104,3758.0,29.359375,2.0266290417300614,354640.9356737682,18370.50054822199,91.95681800732837,157.56158798671694,113120.19096943329,272970.984374442,17136.869020588427,84.44212793836329,125.26213529908918,87071.07068344502,6144.0,104,3760.0,0.08720663794484149,104,3760.0
80.0,105,4282.0,32.68702290076336,2.078796220089943,347152.0213922468,18492.40579468971,92.2830858940778,154.72797829346464,110731.64754287,275595.62556612975,17301.634360262226,85.25401331787278,126.46652458353307,87908.26705786047,5895.0,105,4284.0,0.07131549334677847,105,4284.0
85.0,106,4812.0,37.30232558139535,1.9523526096558075,348355.3985837195,18407.42038476569,91.89500502014404,154.95835959444216,111115.47792760647,278220.5241617884,17466.43953261993,86.06608780084234,127.67108959477473,88745.5455412765,5463.529411764706,106,4814.0,0.07938476696908114,106,4814.0
90.0,101,4914.0,37.51145038167939,1.8615294016411306,335407.74588653987,18243.815033065683,90.86338632818804,150.48418408147143,106985.67005327236,265095.9431397646,16642.401017472144,82.00565516458158,121.64820593379577,84559.1250395296,5240.0,101,5187.0,0.08453572633049163,101,5187.0
95.0,98,4855.0,36.50375939849624,1.9124475137096026,378116.1593346002,18983.251726847924,95.24073500904814,168.7720214146481,120607.61178806878,257205.99994417228,16145.659052604025,79.55838196952696,118.02415111875503,82042.42584609425,5040.0,98,5413.0,0.0825154357452602,98,5413.0
100.0,95,4940.0,36.592592592592595,2.0311762462455403,357544.03894906683,18357.99214325365,91.99467661324127,160.32230649379025,114045.88433260405,249318.36191283324,15649.780889907473,77.11513077824009,114.4024664362091,79526.46213210071,4860.0,95,5587.0,0.07274143310693883,95,5587.0
105.0,93,4691.0,34.24087591240876,1.9658258832516988,369851.3161682987,18595.837966411244,93.24660156742532,164.3611496075093,117971.53203763449,244053.9115275223,15317.760525185893,75.47956272196413,111.98310281633478,77847.2309155022,4697.142857142857,93,5833.0,0.08284131907047844,93,5833.0
110.0,90,4137.0,30.197080291970803,1.7956970943122867,382208.86547344044,18968.63468986809,95.28463627820598,170.35157104517265,121912.97790687923,236207.7540760954,14827.402654556876,73.06265823295139,108.38833557089522,75344.49876464531,4483.636363636364,90,5943.0,0.07634696341277332,90,5943.0
115.0,96,3874.0,28.07246376811594,1.7554706383659413,362200.594053821,19123.579089780073,95.58782998544804,162.8355410962643,115531.44391923609,251917.53312750926,15810.327718538989,77.90703234490213,115.5890243759904,80355.53378161801,4320.0,96,5905.0,0.04955136057523146,96,5905.0
