step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_CO2_emission,system_total_CO_emission,system_total_HC_emission,system_total_NOx_emission,system_total_FuelConsumption,system_stopped_total_CO2_emission,system_stopped_total_CO_emission,system_stopped_total_HC_emission,system_stopped_total_NOx_emission,system_stopped_total_FuelConsumption,system_vph,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,10.906702060110343,63567.91870181205,827.9923458246215,5.136741050716645,23.848901236341575,20275.465817924796,0.0,0.0,0.0,0.0,0.0,18000.0,0,0.0,0.7822950626202757,0,0.0
10.0,0,0.0,0.0,10.896665999419781,135351.68776851668,1991.177776913472,12.106481497984845,54.69570819661536,43170.97811899319,0.0,0.0,0.0,0.0,0.0,14760.0,0,0.0,0.7982803024116306,0,0.0
15.0,5,10.0,0.1724137931034483,7.3327383846284,131850.46455581207,3133.5800149714823,17.317431074855243,53.93440491405524,42054.933805140085,13108.096955506666,822.2824030730909,4.051972024535501,6.012877942112265,4181.162515278084,13920.0,5,10.0,0.4932758946513776,5,10.0
20.0,19,76.0,1.0704225352112675,5.199731245074456,158749.65431461384,5688.247348587395,29.632598203656425,68.30764071988554,50635.3209236949,49807.162575209,3123.5662430047205,15.39232439374897,22.84560450835766,15887.267159859803,12780.0,19,76.0,0.28986375172665496,19,76.0
25.0,30,173.0,2.1625,3.8749773808791454,233101.22604919312,9084.686728217122,46.69098349193481,100.13859252997786,74351.21083399659,78700.73559915008,4937.704362522796,24.33150070265208,36.10649017338948,25103.610331470783,11520.0,30,189.0,0.2119191464342147,30,189.0
30.0,43,351.0,4.129411764705883,3.258903880767658,244392.78820666755,10457.936876221944,53.26195696562226,107.0683087781608,77953.08273347579,112839.50293137181,7081.903204675532,34.896783252152424,51.77519221877447,35993.04256297341,10200.0,43,378.0,0.16203567327397075,43,378.0
35.0,56,605.0,6.954022988505747,2.6157829089694653,235694.55624940782,11221.953140911144,56.57748271549014,103.7137061774326,75179.29672983606,146954.0951579609,9223.478595098264,45.4494375516105,67.42913824689082,46874.7635528645,8948.571428571428,56,624.0,0.11782763469143992,56,624.0
40.0,64,909.0,9.670212765957446,2.4496886987746627,243570.04380317114,12194.062130873643,61.23267380529546,108.23876548389367,77691.53188350007,167965.10046314012,10543.210478812982,51.952243631019726,77.0728819895642,53576.760597424014,8460.0,64,921.0,0.12297008533488199,64,921.0
45.0,73,1255.0,12.676767676767676,1.9598163240967008,242432.34433824098,13190.173914783283,65.59340652195574,107.38976396799396,77329.33301141794,191569.84854311525,12023.767614512142,59.24809912180876,87.9012356522138,61106.098027430686,7920.0,73,1261.0,0.08647370956626871,73,1261.0
50.0,81,1643.0,16.43,1.5465392353467364,256935.22134573484,14369.36820279285,71.45850477754925,115.84159220241557,81955.29286431467,212577.87531331682,13343.939214134696,65.75285255719504,97.54436461289622,67807.14523243532,7200.0,81,1647.0,0.05217105796551976,81,1647.0
55.0,81,1838.0,18.198019801980198,1.371040237736736,267684.50564727833,14716.273058781953,73.28145015279713,120.18873881896597,85383.94985343388,212566.91245415388,13343.820101352792,65.75204183342217,97.53935679281169,67803.64869306292,6610.909090909091,81,1984.0,0.06033853572608343,81,1984.0
60.0,76,1892.0,18.368932038834952,1.4999252720186678,285960.7372744764,15045.90512872204,75.20605148897181,128.0660590536794,91213.20917800785,199468.64075217082,12521.750380613348,61.70128280803005,91.53113406042576,63625.61991745467,6180.0,76,2266.0,0.05909421390253434,76,2266.0
65.0,75,2118.0,20.97029702970297,1.9854716154017136,293094.03544260625,14543.024183898386,73.09407291621734,130.26506552720832,93488.12792319503,196843.81412356038,12356.389040595916,60.886656287458145,90.32572313258181,62788.364214458146,5593.846153846154,75,2475.0,0.06645302384675657,75,2475.0
70.0,74,2357.0,22.883495145631066,2.4724555960908994,278252.9928916146,14004.197595966883,70.22937885715037,123.2140360134038,88754.46483798888,194226.58335731976,12193.111089716536,60.08177908207225,89.12693286504573,61953.53178897816,5297.142857142857,74,2686.0,0.08367985316937426,74,2686.0
75.0,73,2650.0,26.237623762376238,2.686446136034245,281577.0447772476,13595.177973037351,68.44812202280252,124.57124546458017,89814.39466875036,191604.44531553987,12028.734414486582,59.27173865930746,87.92425459899988,61117.13389191431,4848.0,73,2897.0,0.10198449045166429,73,2897.0
80.0,74,3017.0,30.17,2.7514718726812566,277090.2556484672,13461.61911156454,67.773539882776,122.88043530104167,88383.25571667081,194227.48996720093,12193.265395349517,60.082509460757,89.12757381083568,61953.82099179235,4500.0,74,3173.0,0.10502585093042184,74,3173.0
85.0,75,3388.0,33.88,2.745210494389959,286707.9888036224,13562.619390561913,68.46194740083065,126.12920709938892,91450.94899352166,196848.8506672072,12357.672731181348,60.892671976547085,90.3299582859048,62789.97097244321,4235.294117647059,75,3465.0,0.1096706803011922,75,3465.0
90.0,75,3763.0,37.257425742574256,2.700968594611671,274960.2884491188,13420.76207799007,67.54876517481546,121.4060892364512,87703.9947370536,196854.14935492055,12358.330617884258,60.89582044756089,90.33332145758791,62791.66114440102,4040.0,75,3765.0,0.10294991873577052,75,3765.0
95.0,71,3661.0,35.8921568627451,2.4947476208432557,266221.9172158499,13432.365090648791,67.3447057308524,118.13087321455644,84916.88503183566,186344.79294618298,11697.893032805181,57.64169975123587,85.50885647326176,59439.43332455164,3865.2631578947367,71,3974.0,0.1109063836880652,71,3974.0
100.0,67,3321.0,33.21,2.006099491427364,270753.89919061353,13486.002278761993,67.76069005307413,120.61047642682556,86362.29163162339,175835.7054026918,11036.887509295657,54.38497760678195,80.68361682617176,56087.29108017988,3600.0,67,4077.0,0.08119765014072515,67,4077.0
105.0,66,2994.0,30.242424242424242,2.1006734370525786,269878.7838729545,13460.563826704478,67.55373226871991,119.85867048817039,86083.21218811793,173197.8054536319,10870.843573747103,53.56690194420769,79.4713901384753,55245.86555026924,3394.285714285714,66,4102.0,0.08440346035373862,66,4102.0
110.0,66,2975.0,29.455445544554454,1.8994674716577584,252542.55990586095,13335.19055960293,66.58746276488546,113.0516194656925,80553.80600155261,173216.10082633822,10872.985442504061,53.57717745035908,79.48280017739091,55251.70135595276,3305.4545454545455,66,4337.0,0.09258824848483267,66,4337.0
115.0,66,2969.0,28.548076923076923,1.969627171359871,289723.12178416946,14115.189546373716,71.04000705257859,129.13606808632818,92412.69923514347,173206.44624605836,10871.652919925838,53.57082629459923,79.47646164585187,55248.621702622004,3255.652173913044,66,4508.0,0.08673495673597609,66,4508.0
120.0,73,3267.0,30.25,2.254131909947414,287208.1709521453,14088.460752772024,70.84150374595158,127.09185784699028,91610.70108499126,191585.5389595817,12026.131999499969,59.25933362757337,87.91185322961779,61111.10307551779,3240.0,73,4710.0,0.09515091415817771,73,4710.0
125.0,78,3570.0,32.16216216216216,1.8085529716306998,268875.63587677816,14564.631574433311,72.61404777600826,120.4655917995253,85763.80301596521,204682.46441075136,12847.225721821718,63.30557853973757,93.91795067170716,65288.70217336987,3196.7999999999997,78,4849.0,0.06189831920151055,78,4849.0
130.0,79,3863.0,36.10280373831776,1.566376919071596,305861.9768541533,15688.387367368154,78.62767322272595,137.3610189253477,97560.80785521897,207321.37300740677,13012.704321828753,64.12108252000377,95.12973162081184,66130.44922631198,2963.0769230769233,79,4981.0,0.047625338439101196,79,4981.0
135.0,75,4180.0,40.19230769230769,1.7540438253147044,287712.0237728071,14869.384403327553,74.33713107630125,128.28227203642618,91771.71177882643,196838.6078662972,12356.702525003393,60.88797038260828,90.32393093263843,62786.70382424727,2773.3333333333335,75,5023.0,0.05626708340530221,75,5023.0
140.0,75,4491.0,42.77142857142857,1.711450901073024,278055.302013256,14638.16465764359,73.07729242603472,123.78322882196969,88691.71334001077,196820.1385319422,12353.557165284185,60.873082861365404,90.31086344637717,62780.81222321447,2700.0,75,5320.0,0.0689035669184376,75,5320.0
145.0,74,4809.0,45.8,1.8791118281814043,262424.47416189744,14000.350997300015,69.81863206075576,117.74469616584568,83705.87604675685,194209.09094838405,12190.761680787034,60.0705698873747,89.11554975250792,61947.95201660731,2606.8965517241377,74,5595.0,0.07545168188339875,74,5595.0
150.0,78,5176.0,48.83018867924528,2.0465165565139323,272459.2011057546,14415.813698547521,71.9652184801803,121.50445284811187,86906.70862035413,204705.018310866,12849.272453265923,63.315519722927355,93.93108119085497,65295.89616743014,2544.0,78,5856.0,0.063859994665807,78,5856.0
155.0,84,5586.0,51.72222222222222,1.9608502141191835,276732.5639009407,15099.601341219755,75.20558790976817,123.88696501201301,88269.99182996474,220463.00308092244,13839.351845460202,68.19390571309803,101.16421242019508,70322.30817636795,2508.3870967741937,84,6253.0,0.052246501068779976,84,6253.0
160.0,85,5911.0,55.764150943396224,1.5122921900327033,260710.81962782607,14974.213591503929,74.18633553542467,117.08886121144887,83159.90931337384,223082.7302017062,14003.385861425155,69.00231464817082,102.36529258989958,71157.9370259405,2385.0,85,6476.0,0.05524712603649534,85,6476.0
